category;common_name;diseases_pests;exposure;family;flowering;flowers_color;foliage_type;height;latin_name;multiplication_methods;origin;plant_type;plantation_repotting;related_species;rusticity;soil_acidity;soil_humidity;soil_type;synonyms;trimming;toxicity;usage;vegetation_type
;;;ensoleillée à mi-ombre;Caprifoliacées;août à septembre;blanc, parfois rosé;caduc à semi-persistant;1 m à 2 m;Abelia chinensis;bouture, semis;Chine;arbuste ornemental;automne, printemps;;rustique jusqu'à -12°C;légèrement acide à légèrement alcalin;normal;tolérant;Abelia aschersoniana, A. cavaleriei,  A. chinensis var ionandra;;;isolé, fond de massif, haie;arbustive
;;;ensoleillée à mi-ombre;Caprifoliacées;fin de l'été;blanc rosé;persistant;1,80 m à 2,40 m;Abelia x 'Edouard Goucher';bouturage;horticole;arbuste ornemental;automne, printemps;;rustique jusqu'à -18°C;légèrement acide à légèrement alcalin;normal;tolérant;;;;isolé, fond de massif, haie;arbustive
;;;ensoleillée à mi-ombre;Caprifoliacées;juin à septembre;blanc rosé;semi-persistant;90 cm à 1,70 m;Abelia x grandiflora;bouture;horticole;arbuste ornemental;automne, printemps;;rustique, jusqu'à -19°C;légèrement acide à neutre;normal;tolérant;;;;isolé, massif, haie;arbustive
;;résistants aux ravageurs et aux maladies;soleil;Caprifoliacées;de mai aux gelées;rosée;persistant;2 m;Abelia;bouturage en juillet;Asie;arbuste à fleurs;printemps, automne;;rustique;neutre;normal;ordinaire, léger;;;;haie taillée, haie libre, isolé;vivace
;;;soleil à mi-ombre;Hippocastanacées;juillet;blanc;caduc;3 à 5 m;Aesculus parviflora;boutures, semis;Etats-Unis;arbuste, petit arbre;printemps;;rustique, -19°C;moyennement acide à moyennement basique;frais;limono argileux, riche;Aesculus macrostachya;;;massif, lisière, arbre isolé;vivace
;;résistant aux maladies;soleil;Légumineuses, Fabacées, Papilionacées;mai, voir en été;jaune;caduc;2 m;Ulex europaeus;semis, boutures en août;Europe de l'ouest;arbuste;automne;;rustique;acide;sec;pauvre, caillouteuse, drainée;;La taille se pratique à l'automne.;les graines sont toxiques;haie, talus, brise-vent;vivace
;;;mi-ombre à ombre claire;Bégoniacées;juillet à octobre;orange, rouge, rose, jaune, blanc;persistant;40 à 70 cm en tout sens;Begonia boliviensis;boutures, semis;Argentine, Bolivie;plante à tubercule;printemps;;non rustique, 5 °C;légèrement acide à neutre;frais;riche et humifère;;;;plante pour jardinière;vivace
;;Il ne craint aucun parasite particulier.;soleil;Scrophulariacées;été;blanc, rose, violet, bleu;caduc;jusqu'à 6 m;Buddleia davidii;boutures à talon prélevées en août et plantées dans un mélange de sable et de terreau par moitié;Chine;arbuste à floraison estivale;automne;;rustique;neutre;normal, voir calcaire;ordinaire, légers, même secs ou rocailleux;Buddleja davidii;Pour éviter qu'il ne prenne trop d'ampleur et pour obtenir de plus belles fleurs, rabattez-le entre novembre et mars en laissant deux ou trois yeux à la base (environ 20 cm du sol).;;isolé, haie libre, bac dans sa forme naine;vivace
;;;ensoleillé à mi-ombre;Scrophulariacées;juin, juillet;jaune orangé;persistant;3 à 5 m;Buddleja globosa;bouture, semis;Amérique du Sud;arbuste ornemental;;;rustique jusqu'à -15°C;acide à légèrement alcalin;frais à normal;tolérant;Buddleja globifera, Buddleia globosa;;;en isolé, en massif;vivace
;;;ensoleillée;Calycanthacées;juin, juillet;rouge sombre;caduc;de 1m 50 à 3 m;Calycanthus floridus;;sud-est des Etats-Unis;arbuste décoratif à fleurs;automne;;rustique, -19°C;assez tolérant;frais;siliceuse, limoneuse;;;;arbuste isolé, ou en massif;vivace
;;;mi-ombre à ombre légère;Théacées;juillet à octobre;rose, rouge, blanche;persistant;1,20 à 3 m;Camelia japonica;bouture, marcottage;Japon, Corée, Chine;plante de terre de bruyère;de novembre à avril;;rustique, -15° C;acide;frais à humide;humifère;Thea japonicum;;;massif, lisière mi- ombre, isolé, haie;arbuste dornement
;;;soleil à mi-ombre;Verbénacées;août à octobre;bleu;caduc;60 à 90 cm;Caryoteris x clandonensis;boutures;horticole;petit buisson aromatique et florifère;printemps, automne;;rustique jusqu'à -24°C;légèrement acide à basique;normal à sec;drainant;;;;massif, haie basse, talus;plante arbustive
;;Cet arbuste n'est pour ainsi dire jamais attaqué par les maladies.;soleil;Verbénacées;août, septembre, octobre;bleu intense;caduc;de 60 cm à 1,20 m;Caryopteris;bouturage au printemps ou en été;Asie;arbuste à fleurs;plantation au printemps;;|-15 °C pour les hybrides, les espèces pures sont plus frileuses et supportent entre - 5 °C et
            - 10 °C, sauf C. incana qui tolère -20 °C|;neutre, calcaire accepté;normal;ordinaire, léger, bien drainé, même pauvre et caillouteux;;|le caryoptéris a pour seule exigence une taille sévère chaque année. Supprimez toute la partie
            aérienne à 5 cm environ de la souche. Il faut couper sur les bourgeons (yeux) situés le plus près possible
            de la souche ligneuse, mais également réduire le nombre de rameaux, car le buisson devient très touffu au
            fil des années. Intervenez plutôt en automne dans les régions au climat froid, vous pourrez mieux protéger
            la souche et la plante offrira moins de prise au gel. Dans les zones plus privilégiées, une taille
            printanière permet un démarrage plus rapide si elle se pratique dès que le bois reperce. Pour lui maintenir
            une forme très compacte, taillez-le de préférence au printemps. Si vous souhaitez le laisser un peu grandir,
            taillez-le juste après la floraison.|;;massif, haie basse, fleurs coupées, bac;vivace
;;;soleil à mi-ombre;Bignoniacées;juillet;blanc;caduc;10 à 15  m;Catalpa bignonioides;semis, rejet de cépée;sud-est des États-Unis;Arbre à fleurs de taille moyenne;printemps;;très rustique, -20°C;légèrement acide à légèrement basique;frais à humide, mais résiste à la sécheresse une fois bien enracinée;riche et léger;;;;arbre isolé, parasol naturel;arborée
;;les araignées rouges, les aleurodes, les cochenilles farineuses;plein soleil;Verbénacées;d'août à octobre;rose fonçée, odorante;caduc;de 1 à 2 m;Clerodendron bungei;semis au printemps, bouturage semi-aoûté en été;Chine;arbuste à fleurs;automne, printemps;;rustique, à pailler dans les régions les plus froides;neutre;frais;riche en humus, bien drainé;;taillez les branches rebelles;;massif, isolé, bac;vivace
;;;soleil à mi-ombre;Verbénacées;juillet, août, fruit en automne et hiver;blanche ou rosée;caduc;4 à 6 m;Clerodendrum trichotomum;boutures, semis;Asie;arbuste ornemental;printemps, automne;;rustique jusqu'à -17°C;très acide à neutre;normal à frais;tolérant;Siphonanthus trichotomus;;;en massif ou en isolé;plante arbustive ou petit arbre
;;plante hôte du feu bactérien;ensoleillé à mi-ombre;Rosacées;mai;blanche;caduc;4 à 6 m;Crataegus x prunifolia 'Splendens';bouturage;horticole;petit arbre à fleurs;novembre à mars;;très rustique, -20 °C;moyennement acide à moyennement basique;normal à assez sec;tolérant;Crataegus persimilis 'MacLeod', Crataegus persimilis 'Prunifolia Splendens';;;en haie défensive, en isolé, en bonsaï;arbustive
;;;ensoleillée à mi-ombre;Éléocarpacées;avril à septembre;rouge à pourpre;persistant;4 m;Crinodendron hookerianum;boutures, semis;Chili;arbuste, petit arbre;printemps;;rustique, -10°C;acide;frais à humide;tourbeux et sableux, terre de bruyère;Tricuspidaria lanceolata;;;massif, lisière;vivace
